metric,type
facial_metrics_ADL_ICD_mm,facial_metrics
facial_metrics_ADL_ICD_px,facial_metrics
facial_metrics_ADL_ID_mm,facial_metrics
facial_metrics_ADL_ID_px,facial_metrics
facial_metrics_ADL_JC_path_avg,facial_metrics
facial_metrics_ADL_JC_path_max,facial_metrics
facial_metrics_ADL_LL_path_avg,facial_metrics
facial_metrics_ADL_LL_path_max,facial_metrics
facial_metrics_ADL_S_L_avg,facial_metrics
facial_metrics_ADL_S_L_max,facial_metrics
facial_metrics_ADL_S_R_avg,facial_metrics
facial_metrics_ADL_S_R_max,facial_metrics
facial_metrics_ADL_S_avg,facial_metrics
facial_metrics_ADL_S_max,facial_metrics
facial_metrics_ADL_S_ratio_avg,facial_metrics
facial_metrics_ADL_Utterance_dur,facial_metrics
facial_metrics_ADL_aJC_abs_avg,facial_metrics
facial_metrics_ADL_aJC_abs_max,facial_metrics
facial_metrics_ADL_aJC_abs_min,facial_metrics
facial_metrics_ADL_aJC_avg,facial_metrics
facial_metrics_ADL_aJC_max,facial_metrics
facial_metrics_ADL_aJC_min,facial_metrics
facial_metrics_ADL_aLL_abs_avg,facial_metrics
facial_metrics_ADL_aLL_abs_max,facial_metrics
facial_metrics_ADL_aLL_abs_min,facial_metrics
facial_metrics_ADL_aLL_avg,facial_metrics
facial_metrics_ADL_aLL_max,facial_metrics
facial_metrics_ADL_aLL_min,facial_metrics
facial_metrics_ADL_eye_blinks,facial_metrics
facial_metrics_ADL_eye_blinks_left,facial_metrics
facial_metrics_ADL_eye_blinks_right,facial_metrics
facial_metrics_ADL_eye_open_avg,facial_metrics
facial_metrics_ADL_eye_open_left_avg,facial_metrics
facial_metrics_ADL_eye_open_left_max,facial_metrics
facial_metrics_ADL_eye_open_max,facial_metrics
facial_metrics_ADL_eye_open_right_avg,facial_metrics
facial_metrics_ADL_eye_open_right_max,facial_metrics
facial_metrics_ADL_eyebrow_vpos_icd_avg,facial_metrics
facial_metrics_ADL_eyebrow_vpos_icd_left_avg,facial_metrics
facial_metrics_ADL_eyebrow_vpos_icd_left_max,facial_metrics
facial_metrics_ADL_eyebrow_vpos_icd_max,facial_metrics
facial_metrics_ADL_eyebrow_vpos_icd_right_avg,facial_metrics
facial_metrics_ADL_eyebrow_vpos_icd_right_max,facial_metrics
facial_metrics_ADL_eyebrow_vpos_nt_avg,facial_metrics
facial_metrics_ADL_eyebrow_vpos_nt_left_avg,facial_metrics
facial_metrics_ADL_eyebrow_vpos_nt_left_max,facial_metrics
facial_metrics_ADL_eyebrow_vpos_nt_max,facial_metrics
facial_metrics_ADL_eyebrow_vpos_nt_right_avg,facial_metrics
facial_metrics_ADL_eyebrow_vpos_nt_right_max,facial_metrics
facial_metrics_ADL_head_tilt_rotation_avg,facial_metrics
facial_metrics_ADL_head_tilt_rotation_max,facial_metrics
facial_metrics_ADL_head_tilt_rotation_min,facial_metrics
facial_metrics_ADL_head_tilt_translation_avg,facial_metrics
facial_metrics_ADL_head_tilt_translation_max,facial_metrics
facial_metrics_ADL_head_tilt_translation_min,facial_metrics
facial_metrics_ADL_jJC_abs_avg,facial_metrics
facial_metrics_ADL_jJC_abs_max,facial_metrics
facial_metrics_ADL_jJC_abs_min,facial_metrics
facial_metrics_ADL_jJC_avg,facial_metrics
facial_metrics_ADL_jJC_max,facial_metrics
facial_metrics_ADL_jJC_min,facial_metrics
facial_metrics_ADL_jLL_abs_avg,facial_metrics
facial_metrics_ADL_jLL_abs_max,facial_metrics
facial_metrics_ADL_jLL_abs_min,facial_metrics
facial_metrics_ADL_jLL_avg,facial_metrics
facial_metrics_ADL_jLL_max,facial_metrics
facial_metrics_ADL_jLL_min,facial_metrics
facial_metrics_ADL_normalization_distance_0,facial_metrics
facial_metrics_ADL_normalization_distance_1,facial_metrics
facial_metrics_ADL_normalization_distance_2,facial_metrics
facial_metrics_ADL_normalization_distance_3,facial_metrics
facial_metrics_ADL_normalization_distance_4,facial_metrics
facial_metrics_ADL_normalization_unit_0,facial_metrics
facial_metrics_ADL_normalization_unit_1,facial_metrics
facial_metrics_ADL_normalization_unit_2,facial_metrics
facial_metrics_ADL_normalization_unit_3,facial_metrics
facial_metrics_ADL_normalization_unit_4,facial_metrics
facial_metrics_ADL_normalized,facial_metrics
facial_metrics_ADL_open_avg,facial_metrics
facial_metrics_ADL_open_max,facial_metrics
facial_metrics_ADL_open_min,facial_metrics
facial_metrics_ADL_source_0,facial_metrics
facial_metrics_ADL_vJC_abs_avg,facial_metrics
facial_metrics_ADL_vJC_abs_max,facial_metrics
facial_metrics_ADL_vJC_abs_min,facial_metrics
facial_metrics_ADL_vJC_avg,facial_metrics
facial_metrics_ADL_vJC_max,facial_metrics
facial_metrics_ADL_vJC_min,facial_metrics
facial_metrics_ADL_vLL_abs_avg,facial_metrics
facial_metrics_ADL_vLL_abs_max,facial_metrics
facial_metrics_ADL_vLL_abs_min,facial_metrics
facial_metrics_ADL_vLL_avg,facial_metrics
facial_metrics_ADL_vLL_max,facial_metrics
facial_metrics_ADL_vLL_min,facial_metrics
facial_metrics_ADL_va_identifier_0,facial_metrics
facial_metrics_ADL_va_identifier_1,facial_metrics
facial_metrics_ADL_va_identifier_2,facial_metrics
facial_metrics_ADL_va_identifier_3,facial_metrics
facial_metrics_ADL_va_identifier_4,facial_metrics
facial_metrics_ADL_width_avg,facial_metrics
facial_metrics_ADL_width_max,facial_metrics
facial_metrics_ADL_width_min,facial_metrics
facial_metrics_ALS-PROP_ICD_mm,facial_metrics
facial_metrics_ALS-PROP_ICD_px,facial_metrics
facial_metrics_ALS-PROP_ID_mm,facial_metrics
facial_metrics_ALS-PROP_ID_px,facial_metrics
facial_metrics_ALS-PROP_JC_path_avg,facial_metrics
facial_metrics_ALS-PROP_JC_path_max,facial_metrics
facial_metrics_ALS-PROP_LL_path_avg,facial_metrics
facial_metrics_ALS-PROP_LL_path_max,facial_metrics
facial_metrics_ALS-PROP_S_L_avg,facial_metrics
facial_metrics_ALS-PROP_S_L_max,facial_metrics
facial_metrics_ALS-PROP_S_R_avg,facial_metrics
facial_metrics_ALS-PROP_S_R_max,facial_metrics
facial_metrics_ALS-PROP_S_avg,facial_metrics
facial_metrics_ALS-PROP_S_max,facial_metrics
facial_metrics_ALS-PROP_S_ratio_avg,facial_metrics
facial_metrics_ALS-PROP_Utterance_dur,facial_metrics
facial_metrics_ALS-PROP_aJC_abs_avg,facial_metrics
facial_metrics_ALS-PROP_aJC_abs_max,facial_metrics
facial_metrics_ALS-PROP_aJC_abs_min,facial_metrics
facial_metrics_ALS-PROP_aJC_avg,facial_metrics
facial_metrics_ALS-PROP_aJC_max,facial_metrics
facial_metrics_ALS-PROP_aJC_min,facial_metrics
facial_metrics_ALS-PROP_aLL_abs_avg,facial_metrics
facial_metrics_ALS-PROP_aLL_abs_max,facial_metrics
facial_metrics_ALS-PROP_aLL_abs_min,facial_metrics
facial_metrics_ALS-PROP_aLL_avg,facial_metrics
facial_metrics_ALS-PROP_aLL_max,facial_metrics
facial_metrics_ALS-PROP_aLL_min,facial_metrics
facial_metrics_ALS-PROP_eye_blinks,facial_metrics
facial_metrics_ALS-PROP_eye_blinks_left,facial_metrics
facial_metrics_ALS-PROP_eye_blinks_right,facial_metrics
facial_metrics_ALS-PROP_eye_open_avg,facial_metrics
facial_metrics_ALS-PROP_eye_open_left_avg,facial_metrics
facial_metrics_ALS-PROP_eye_open_left_max,facial_metrics
facial_metrics_ALS-PROP_eye_open_max,facial_metrics
facial_metrics_ALS-PROP_eye_open_right_avg,facial_metrics
facial_metrics_ALS-PROP_eye_open_right_max,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_icd_avg,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_icd_left_avg,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_icd_left_max,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_icd_max,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_icd_right_avg,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_icd_right_max,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_nt_avg,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_nt_left_avg,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_nt_left_max,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_nt_max,facial_metrics
facial_metrics_ALS-PROP_eyebrow_vpos_nt_right_avg,facial_metrics
